"detail_id","order_id","dishes_id","logicprn_name","parent_class_name","dishes_name","itemis_add","counts","amounts","cost","place_order_time","discount_amt","discount_reason","kick_back","add_inprice","add_info","bar_code","picture_file","emp_id"
754,137,610047,NA,NA,"西瓜胡萝卜沙拉",0,1,26,NA,"2016/8/3 14:01:13",NA,NA,NA,0,NA,NA,"caipu/301001.jpg",1248
753,137,609970,NA,NA,"麻辣小龙虾",0,1,99,NA,"2016/8/3 14:01:47",NA,NA,NA,0,NA,NA,"caipu/101006.jpg",1248
758,137,609945,NA,NA,"农夫山泉NFC果汁100%橙汁",0,1,6,NA,"2016/8/3 14:02:11",NA,NA,NA,0,NA,NA,"caipu/404001.jpg",1248
755,137,609992,NA,NA,"番茄炖牛腩
",0,1,35,NA,"2016/8/3 14:02:37",NA,NA,NA,0,NA,NA,"caipu/201002.jpg",1248
759,137,610010,NA,NA,"白饭/小碗",0,4,1,NA,"2016/8/3 14:04:55",NA,NA,NA,0,NA,NA,"caipu/601004.jpg",1248
760,137,609953,NA,NA,"凉拌菠菜",0,1,27,NA,"2016/8/3 14:05:09",NA,NA,NA,0,NA,NA,"caipu/303004.jpg",1248
831,162,609966,NA,NA,"芝士烩波士顿龙虾",0,1,175,NA,"2016/8/15 11:17:25",NA,NA,NA,0,NA,NA,"caipu/101001.jpg",1538
832,162,609970,NA,NA,"麻辣小龙虾",0,1,99,NA,"2016/8/15 11:19:58",NA,NA,NA,0,NA,NA,"caipu/101006.jpg",1538
833,162,609961,NA,NA,"姜葱炒花蟹",0,2,45,NA,"2016/8/15 11:22:44",NA,NA,NA,0,NA,NA,"caipu/102001.jpg",1538
834,162,609944,NA,NA,"水煮鱼",0,1,65,NA,"2016/8/15 11:24:49",NA,NA,NA,0,NA,NA,"caipu/103005.jpg",1538
835,162,609707,NA,NA,"百里香奶油烤紅酒牛肉",0,1,178,NA,"2016/8/15 11:25:15",NA,NA,NA,0,NA,NA,"caipu/201001.jpg",1538
838,162,610012,NA,NA,"香菇鹌鹑蛋",0,1,39,NA,"2016/8/15 11:26:04",NA,NA,NA,0,NA,NA,"caipu/302001.jpg",1538
837,162,610048,NA,NA,"拌土豆丝",0,1,25,NA,"2016/8/15 11:26:19",NA,NA,NA,0,NA,NA,"caipu/301002.jpg",1538
836,162,609931,NA,NA,"焖猪手",0,1,58,NA,"2016/8/15 11:26:36",NA,NA,NA,0,NA,NA,"caipu/203002.jpg",1538
839,162,610072,NA,NA,"53度茅台",0,1,128,NA,"2016/8/15 11:27:34",NA,NA,NA,0,NA,NA,"caipu/401005.jpg",1538
